Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC+06:00,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,Fahrenheit,Celsius,%,,,
12/31/2023 00:10:59,12/31/2023 06:10:59,10,12,,12,12,,105,125,126,126,126,0,41.9,,49,,0,0
12/31/2023 01:10:59,12/31/2023 07:10:59,9,10,,10,11,,92,109,110,110,110,0,41.9,,49,,0,0
12/31/2023 02:10:59,12/31/2023 08:10:59,9,9,,10,10,,86,102,102,103,103,0,41.9,,49,,0,0
12/31/2023 03:10:59,12/31/2023 09:10:59,8,9,,9,9,,80,95,96,96,96,0,43.0,,48,,0,0
12/31/2023 04:10:59,12/31/2023 10:10:59,7,8,,8,8,,74,87,87,87,87,0,44.8,,47,,0,0
12/31/2023 05:10:59,12/31/2023 11:10:59,7,7,,8,8,,68,80,81,81,81,0,45.3,,48,,0,0
12/31/2023 06:10:59,12/31/2023 12:10:59,6,7,,7,7,,60,71,71,71,71,0,46.9,,47,,0,0
12/31/2023 07:10:59,12/31/2023 13:10:59,5,6,,6,6,,51,60,60,60,61,0,46.8,,48,,0,0
12/31/2023 08:10:59,12/31/2023 14:10:59,5,5,,5,5,,47,55,55,56,56,0,47.5,,48,,0,0
12/31/2023 09:10:59,12/31/2023 15:10:59,5,6,,6,6,,53,63,63,63,63,0,47.7,,49,,0,0
12/31/2023 10:10:59,12/31/2023 16:10:59,6,6,,7,7,,58,69,69,69,69,0,48.0,,49,,0,0
12/31/2023 11:10:59,12/31/2023 17:10:59,9,9,,10,10,,85,101,101,101,101,0,48.2,,49,,0,0
12/31/2023 12:10:59,12/31/2023 18:10:59,11,12,,12,12,,108,128,128,129,129,0,48.4,,49,,0,0
12/31/2023 13:10:59,12/31/2023 19:10:59,13,14,,14,14,,124,146,147,147,147,0,48.2,,48,,0,0
12/31/2023 14:10:59,12/31/2023 20:10:59,14,15,,15,15,,132,156,157,157,157,0,48.0,,48,,0,0
12/31/2023 15:10:59,12/31/2023 21:10:59,14,15,,15,15,,135,159,160,160,160,0,47.1,,49,,0,0
12/31/2023 16:10:59,12/31/2023 22:10:59,15,16,,16,16,,145,170,171,172,172,0,46.8,,49,,0,0
12/31/2023 17:10:59,12/31/2023 23:10:59,16,17,,18,18,,156,184,185,185,185,0,46.9,,48,,0,0
12/31/2023 18:10:59,01/01/2024 00:10:59,21,22,,22,22,,205,240,241,242,242,0,46.2,,48,,0,0
12/31/2023 19:10:59,01/01/2024 01:10:59,31,33,,33,33,,307,360,361,361,361,0,45.7,,48,,0,0
12/31/2023 20:10:59,01/01/2024 02:10:59,31,32,,32,32,,306,358,359,359,359,0,45.7,,48,,0,0
12/31/2023 21:10:59,01/01/2024 03:10:59,28,30,,30,30,,286,335,336,336,336,0,45.0,,48,,0,0
12/31/2023 22:10:59,01/01/2024 04:10:59,26,28,,28,28,,263,308,309,309,309,0,45.0,,48,,0,0
12/31/2023 23:10:59,01/01/2024 05:10:59,24,25,,25,25,,235,276,277,277,277,0,45.5,,47,,0,0
01/01/2024 00:10:59,01/01/2024 06:10:59,21,22,,22,22,,207,242,243,243,243,0,44.6,,48,,0,0
01/01/2024 01:10:59,01/01/2024 07:10:59,18,19,,19,19,,183,215,216,216,216,0,44.4,,48,,0,0
01/01/2024 02:10:59,01/01/2024 08:10:59,16,17,,17,17,,165,193,194,194,194,0,43.9,,48,,0,0
01/01/2024 03:10:59,01/01/2024 09:10:59,15,16,,16,16,,149,175,175,175,175,0,44.8,,47,,0,0
01/01/2024 04:10:59,01/01/2024 10:10:59,14,14,,14,14,,135,158,159,159,159,0,46.6,,46,,0,0
01/01/2024 05:10:59,01/01/2024 11:10:59,12,13,,13,13,,118,139,139,139,139,0,46.6,,47,,0,0
01/01/2024 06:10:59,01/01/2024 12:10:59,11,11,,11,11,,104,122,122,122,122,0,48.2,,48,,0,0
01/01/2024 07:10:59,01/01/2024 13:10:59,9,10,,10,10,,91,106,107,107,107,0,49.1,,48,,0,0
01/01/2024 08:10:59,01/01/2024 14:10:59,8,9,,9,9,,79,93,93,93,93,0,49.8,,48,,0,0
01/01/2024 09:10:59,01/01/2024 15:10:59,7,8,,8,8,,71,84,84,84,84,0,49.8,,49,,0,0
01/01/2024 10:10:59,01/01/2024 16:10:59,7,8,,8,8,,70,82,82,82,82,0,50.2,,48,,0,0
01/01/2024 11:10:59,01/01/2024 17:10:59,7,7,,7,7,,67,78,79,79,79,0,51.1,,48,,0,0
01/01/2024 12:10:59,01/01/2024 18:10:59,8,8,,8,8,,74,86,87,87,87,0,52.0,,47,,0,0
01/01/2024 13:10:59,01/01/2024 19:10:59,9,9,,9,9,,85,100,100,100,100,0,50.5,,48,,0,0
01/01/2024 14:10:59,01/01/2024 20:10:59,10,10,,10,10,,93,109,109,109,110,0,50.2,,48,,0,0
01/01/2024 15:10:59,01/01/2024 21:10:59,9,10,,10,10,,91,107,108,108,108,0,49.6,,48,,0,0
01/01/2024 16:10:59,01/01/2024 22:10:59,9,9,,9,9,,85,100,100,100,100,0,49.6,,48,,0,0
01/01/2024 17:10:59,01/01/2024 23:10:59,8,9,,9,9,,78,92,92,93,93,0,48.9,,48,,0,0
01/01/2024 18:10:59,01/02/2024 00:10:59,8,8,,8,8,,74,87,88,88,88,0,48.9,,48,,0,0
01/01/2024 19:10:59,01/02/2024 01:10:59,7,8,,8,8,,70,83,83,83,83,0,48.9,,48,,0,0
01/01/2024 20:10:59,01/02/2024 02:10:59,7,7,,7,7,,66,77,77,77,77,0,48.2,,48,,0,0
01/01/2024 21:10:59,01/02/2024 03:10:59,6,7,,7,7,,62,72,73,73,73,0,48.6,,48,,0,0
01/01/2024 22:10:59,01/02/2024 04:10:59,6,6,,6,6,,57,67,67,67,67,0,48.7,,47,,0,0
01/01/2024 23:10:59,01/02/2024 05:10:59,5,6,,6,6,,52,61,62,62,62,0,48.4,,47,,0,0
01/02/2024 00:10:59,01/02/2024 06:10:59,5,5,,5,5,,48,56,56,56,56,0,47.7,,48,,0,0
01/02/2024 01:10:59,01/02/2024 07:10:59,5,5,,5,5,,46,54,54,54,54,0,48.0,,48,,0,0
01/02/2024 02:10:59,01/02/2024 08:10:59,4,5,,5,5,,43,51,51,51,51,0,47.7,,48,,0,0
01/02/2024 03:10:59,01/02/2024 09:10:59,4,5,,5,5,,42,49,49,49,49,0,48.4,,47,,0,0
01/02/2024 04:10:59,01/02/2024 10:10:59,5,5,,5,5,,47,55,55,55,55,0,49.5,,47,,0,0
01/02/2024 05:10:59,01/02/2024 11:10:59,5,6,,6,6,,51,60,60,60,60,0,49.1,,47,,0,0
01/02/2024 06:10:59,01/02/2024 12:10:59,6,6,,6,6,,55,64,65,65,65,0,49.5,,47,,0,0
01/02/2024 07:10:59,01/02/2024 13:10:59,6,7,,7,7,,60,71,71,72,72,0,49.6,,48,,0,0
01/02/2024 08:10:59,01/02/2024 14:10:59,11,12,,12,12,,104,122,123,123,123,0,50.2,,48,,0,0
01/02/2024 09:10:59,01/02/2024 15:10:59,15,16,,17,17,,145,171,172,172,172,0,50.2,,49,,0,0
01/02/2024 10:10:59,01/02/2024 16:10:59,15,16,,17,17,,146,172,173,173,173,0,50.4,,49,,0,0
01/02/2024 11:10:59,01/02/2024 17:10:59,15,17,,17,17,,147,174,175,175,175,0,50.2,,49,,0,0
01/02/2024 12:10:59,01/02/2024 18:10:59,16,17,,18,18,,155,182,183,183,183,0,50.0,,49,,0,0
01/02/2024 13:10:59,01/02/2024 19:10:59,18,19,,20,20,,173,203,205,205,205,0,49.6,,49,,0,0
01/02/2024 14:10:59,01/02/2024 20:10:59,21,22,,23,23,,199,235,236,237,237,0,49.1,,49,,0,0
01/02/2024 15:10:59,01/02/2024 21:10:59,22,24,,25,25,,216,255,257,257,257,0,48.9,,48,,0,0
01/02/2024 16:10:59,01/02/2024 22:10:59,23,25,,25,26,,223,263,265,265,265,0,47.8,,49,,0,0
01/02/2024 17:10:59,01/02/2024 23:10:59,22,24,,25,25,,218,257,258,258,258,0,47.5,,49,,0,0
01/02/2024 18:10:59,01/03/2024 00:10:59,21,23,,24,24,,211,248,250,250,250,0,46.9,,49,,0,0
01/02/2024 19:10:59,01/03/2024 01:10:59,22,24,,24,25,,218,257,258,259,259,0,46.2,,49,,0,0
01/02/2024 20:10:59,01/03/2024 02:10:59,23,25,,25,25,,225,265,267,267,267,0,45.7,,49,,0,0
