Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC+06:00,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,Fahrenheit,Celsius,%,,,
12/31/2023 00:18:28,12/31/2023 06:18:28,12,13,,14,14,,134,151,152,152,152,0,42.6,,39,,0,0
12/31/2023 01:18:28,12/31/2023 07:18:28,11,12,,12,12,,118,134,134,135,135,0,42.8,,39,,0,0
12/31/2023 02:18:28,12/31/2023 08:18:28,10,11,,11,11,,110,124,125,125,125,0,42.8,,39,,0,0
12/31/2023 03:18:28,12/31/2023 09:18:28,9,10,,11,11,,102,115,116,116,116,0,43.2,,39,,0,0
12/31/2023 04:18:28,12/31/2023 10:18:28,9,9,,10,10,,93,105,105,105,106,0,44.1,,39,,0,0
12/31/2023 05:18:28,12/31/2023 11:18:28,8,9,,9,9,,84,95,96,96,96,0,45.9,,38,,0,0
12/31/2023 06:18:28,12/31/2023 12:18:28,7,8,,8,8,,74,84,84,85,85,0,46.8,,39,,0,0
12/31/2023 07:18:28,12/31/2023 13:18:28,6,6,,7,7,,63,71,71,71,71,0,47.3,,39,,0,0
12/31/2023 08:18:28,12/31/2023 14:18:28,6,6,,6,6,,61,69,70,70,70,0,48.0,,39,,0,0
12/31/2023 09:18:28,12/31/2023 15:18:28,6,7,,7,7,,67,76,76,76,76,0,48.2,,40,,0,0
12/31/2023 10:18:28,12/31/2023 16:18:28,7,8,,8,8,,78,88,88,88,88,0,48.2,,40,,0,0
12/31/2023 11:18:28,12/31/2023 17:18:28,11,12,,12,12,,112,126,127,127,127,0,48.2,,40,,0,0
12/31/2023 12:18:28,12/31/2023 18:18:28,13,14,,14,15,,138,156,157,157,157,0,47.8,,40,,0,0
12/31/2023 13:18:28,12/31/2023 19:18:28,15,16,,17,17,,159,179,180,180,180,0,47.7,,40,,0,0
12/31/2023 14:18:28,12/31/2023 20:18:28,16,17,,17,17,,166,188,189,189,189,0,47.3,,40,,0,0
12/31/2023 15:18:28,12/31/2023 21:18:28,16,17,,18,18,,170,192,193,193,193,0,46.9,,40,,0,0
12/31/2023 16:18:28,12/31/2023 22:18:28,17,19,,19,19,,183,207,208,208,208,0,46.6,,40,,0,0
12/31/2023 17:18:28,12/31/2023 23:18:28,19,20,,20,21,,197,222,223,224,224,0,46.2,,40,,0,0
12/31/2023 18:18:28,01/01/2024 00:18:28,26,28,,28,28,,275,310,311,311,311,0,45.9,,40,,0,0
12/31/2023 19:18:28,01/01/2024 01:18:28,35,38,,38,38,,380,427,429,429,429,0,45.5,,40,,0,0
12/31/2023 20:18:28,01/01/2024 02:18:28,34,37,,37,37,,368,414,415,416,416,0,45.0,,40,,0,0
12/31/2023 21:18:28,01/01/2024 03:18:28,32,34,,34,34,,343,385,387,387,387,0,45.0,,40,,0,0
12/31/2023 22:18:28,01/01/2024 04:18:28,29,31,,31,31,,314,354,355,355,355,0,44.6,,40,,0,0
12/31/2023 23:18:28,01/01/2024 05:18:28,26,28,,28,28,,279,314,315,315,315,0,44.2,,40,,0,0
01/01/2024 00:18:28,01/01/2024 06:18:28,23,24,,25,25,,247,278,278,279,279,0,44.1,,40,,0,0
01/01/2024 01:18:28,01/01/2024 07:18:28,20,22,,22,22,,221,249,249,249,249,0,43.7,,40,,0,0
01/01/2024 02:18:28,01/01/2024 08:18:28,18,20,,20,20,,198,223,224,224,224,0,43.3,,40,,0,0
01/01/2024 03:18:28,01/01/2024 09:18:28,17,18,,18,18,,179,202,202,202,202,0,43.5,,40,,0,0
01/01/2024 04:18:28,01/01/2024 10:18:28,15,16,,16,16,,162,183,183,183,184,0,44.8,,39,,0,0
01/01/2024 05:18:28,01/01/2024 11:18:28,13,14,,14,14,,142,160,160,160,160,0,46.4,,39,,0,0
01/01/2024 06:18:28,01/01/2024 12:18:28,12,12,,13,13,,123,138,139,139,139,0,49.1,,38,,0,0
