Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC+06:00,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,Fahrenheit,Celsius,%,,,
12/31/2023 00:18:25,12/31/2023 06:18:25,10,10,,11,11,,109,127,127,127,127,0,41.9,,45,,0,0
12/31/2023 01:18:25,12/31/2023 07:18:25,9,9,,9,9,,97,113,113,114,114,0,41.7,,45,,0,0
12/31/2023 02:18:25,12/31/2023 08:18:25,8,9,,9,9,,89,104,104,104,104,0,41.5,,46,,0,0
12/31/2023 03:18:25,12/31/2023 09:18:25,8,8,,8,8,,83,97,97,97,97,0,41.9,,46,,0,0
12/31/2023 04:18:25,12/31/2023 10:18:25,7,7,,7,7,,76,88,89,89,89,0,43.0,,45,,0,0
12/31/2023 05:18:25,12/31/2023 11:18:25,6,7,,7,7,,68,80,80,80,80,0,45.0,,45,,0,0
12/31/2023 06:18:25,12/31/2023 12:18:25,6,6,,6,6,,60,70,71,71,71,0,46.0,,45,,0,0
12/31/2023 07:18:25,12/31/2023 13:18:25,5,5,,5,5,,51,60,60,60,60,0,46.6,,45,,0,0
12/31/2023 08:18:25,12/31/2023 14:18:25,5,5,,5,5,,50,58,58,58,58,0,47.3,,45,,0,0
12/31/2023 09:18:25,12/31/2023 15:18:25,5,5,,5,6,,55,64,64,65,65,0,48.0,,45,,0,0
12/31/2023 10:18:25,12/31/2023 16:18:25,6,6,,6,6,,63,73,74,74,74,0,48.2,,45,,0,0
12/31/2023 11:18:25,12/31/2023 17:18:25,9,9,,9,9,,91,106,107,107,107,0,48.0,,45,,0,0
12/31/2023 12:18:25,12/31/2023 18:18:25,10,11,,11,11,,112,130,130,130,131,0,47.8,,45,,0,0
12/31/2023 13:18:25,12/31/2023 19:18:25,12,13,,13,13,,128,149,150,150,150,0,47.7,,45,,0,0
12/31/2023 14:18:25,12/31/2023 20:18:25,13,13,,13,13,,135,157,157,157,158,0,47.1,,45,,0,0
12/31/2023 15:18:25,12/31/2023 21:18:25,13,14,,14,14,,138,161,162,162,162,0,46.4,,46,,0,0
12/31/2023 16:18:25,12/31/2023 22:18:25,14,15,,15,15,,149,174,175,175,175,0,46.4,,46,,0,0
12/31/2023 17:18:25,12/31/2023 23:18:25,15,16,,16,16,,161,188,189,189,189,0,46.2,,45,,0,0
12/31/2023 18:18:25,01/01/2024 00:18:25,20,21,,21,21,,220,256,257,257,257,0,45.5,,45,,0,0
12/31/2023 19:18:25,01/01/2024 01:18:25,29,31,,31,31,,318,370,372,372,372,0,45.0,,46,,0,0
12/31/2023 20:18:25,01/01/2024 02:18:25,29,30,,30,30,,312,363,365,365,365,0,45.0,,45,,0,0
12/31/2023 21:18:25,01/01/2024 03:18:25,27,28,,28,28,,292,339,341,341,341,0,44.4,,46,,0,0
12/31/2023 22:18:25,01/01/2024 04:18:25,25,26,,26,26,,269,313,315,315,315,0,44.4,,45,,0,0
12/31/2023 23:18:25,01/01/2024 05:18:25,22,23,,23,23,,237,275,276,276,276,0,44.4,,45,,0,0
01/01/2024 00:18:25,01/01/2024 06:18:25,19,20,,20,20,,209,243,244,244,244,0,43.9,,45,,0,0
01/01/2024 01:18:25,01/01/2024 07:18:25,17,18,,18,18,,185,216,216,216,217,0,43.7,,45,,0,0
01/01/2024 02:18:25,01/01/2024 08:18:25,15,16,,16,16,,167,194,195,195,195,0,43.2,,45,,0,0
01/01/2024 03:18:25,01/01/2024 09:18:25,14,15,,15,15,,151,176,177,177,177,0,43.5,,45,,0,0
01/01/2024 04:18:25,01/01/2024 10:18:25,12,13,,13,13,,135,157,158,158,158,0,44.1,,45,,0,0
01/01/2024 05:18:25,01/01/2024 11:18:25,11,12,,12,12,,118,138,138,138,138,0,45.7,,45,,0,0
01/01/2024 06:18:25,01/01/2024 12:18:25,10,10,,10,10,,103,120,121,121,121,0,48.0,,44,,0,0
01/01/2024 07:18:25,01/01/2024 13:18:25,9,9,,9,9,,90,105,105,105,105,0,48.9,,44,,0,0
01/01/2024 08:18:25,01/01/2024 14:18:25,7,8,,8,8,,78,91,91,91,91,0,49.3,,45,,0,0
01/01/2024 09:18:25,01/01/2024 15:18:25,7,7,,7,7,,71,83,83,83,83,0,49.5,,45,,0,0
01/01/2024 10:18:25,01/01/2024 16:18:25,7,7,,7,7,,69,80,81,81,81,0,49.8,,45,,0,0
01/01/2024 11:18:25,01/01/2024 17:18:25,6,7,,7,7,,68,79,79,79,79,0,50.5,,45,,0,0
