Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC+06:00,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,Fahrenheit,Celsius,%,,,
12/31/2023 00:18:41,12/31/2023 06:18:41,11,12,,13,13,,120,140,141,141,141,0,41.5,,41,,0,0
12/31/2023 01:18:41,12/31/2023 07:18:41,10,11,,11,11,,106,123,124,125,125,0,41.5,,41,,0,0
12/31/2023 02:18:41,12/31/2023 08:18:41,9,10,,10,11,,99,115,116,116,116,0,41.7,,41,,0,0
12/31/2023 03:18:41,12/31/2023 09:18:41,8,9,,10,10,,91,106,107,107,107,0,42.6,,41,,0,0
12/31/2023 04:18:41,12/31/2023 10:18:41,8,8,,9,9,,83,96,97,97,97,0,43.9,,40,,0,0
12/31/2023 05:18:41,12/31/2023 11:18:41,7,8,,8,8,,76,87,88,88,88,0,44.6,,41,,0,0
12/31/2023 06:18:41,12/31/2023 12:18:41,6,7,,7,7,,67,78,79,79,79,0,45.7,,41,,0,0
12/31/2023 07:18:41,12/31/2023 13:18:41,5,6,,6,6,,57,66,66,66,66,0,46.4,,41,,0,0
12/31/2023 08:18:41,12/31/2023 14:18:41,5,6,,6,6,,56,64,65,65,65,0,47.1,,41,,0,0
12/31/2023 09:18:41,12/31/2023 15:18:41,6,6,,6,6,,61,70,71,71,71,0,47.5,,41,,0,0
12/31/2023 10:18:41,12/31/2023 16:18:41,6,7,,7,7,,68,79,80,80,80,0,47.7,,41,,0,0
12/31/2023 11:18:41,12/31/2023 17:18:41,9,10,,11,11,,101,116,117,117,117,0,47.7,,41,,0,0
12/31/2023 12:18:41,12/31/2023 18:18:41,12,13,,13,13,,124,143,144,144,145,0,47.5,,42,,0,0
12/31/2023 13:18:41,12/31/2023 19:18:41,13,15,,15,15,,142,165,166,166,166,0,47.3,,41,,0,0
12/31/2023 14:18:41,12/31/2023 20:18:41,14,15,,16,16,,150,174,175,176,176,0,46.9,,41,,0,0
12/31/2023 15:18:41,12/31/2023 21:18:41,14,16,,16,16,,153,177,179,179,179,0,46.6,,41,,0,0
12/31/2023 16:18:41,12/31/2023 22:18:41,15,17,,17,18,,165,191,192,193,193,0,46.2,,41,,0,0
12/31/2023 17:18:41,12/31/2023 23:18:41,16,18,,19,19,,177,205,207,207,207,0,45.9,,41,,0,0
12/31/2023 18:18:41,01/01/2024 00:18:41,22,24,,24,25,,241,278,280,280,280,0,45.5,,41,,0,0
12/31/2023 19:18:41,01/01/2024 01:18:41,32,34,,34,34,,348,399,401,401,401,0,45.1,,41,,0,0
12/31/2023 20:18:41,01/01/2024 02:18:41,31,33,,34,34,,343,394,395,396,396,0,44.8,,41,,0,0
12/31/2023 21:18:41,01/01/2024 03:18:41,29,31,,31,31,,319,367,368,369,369,0,44.4,,41,,0,0
12/31/2023 22:18:41,01/01/2024 04:18:41,27,29,,29,29,,294,338,340,340,340,0,44.2,,41,,0,0
12/31/2023 23:18:41,01/01/2024 05:18:41,24,25,,26,26,,261,300,301,301,301,0,43.9,,41,,0,0
01/01/2024 00:18:41,01/01/2024 06:18:41,21,22,,22,22,,230,264,265,265,265,0,43.7,,41,,0,0
01/01/2024 01:18:41,01/01/2024 07:18:41,19,20,,20,20,,205,235,236,236,236,0,43.3,,41,,0,0
