Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC+06:00,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,Fahrenheit,Celsius,%,,,
12/31/2023 00:03:24,12/31/2023 06:03:24,15,18,,20,21,,167,199,203,204,204,0,42.1,,41,,0,0
12/31/2023 01:03:24,12/31/2023 07:03:24,13,16,,17,18,,145,172,176,176,177,0,42.1,,40,,0,0
12/31/2023 02:03:24,12/31/2023 08:03:24,12,14,,15,16,,133,157,160,161,161,0,42.3,,40,,0,0
12/31/2023 03:03:24,12/31/2023 09:03:24,11,13,,15,15,,126,149,152,152,153,0,42.4,,40,,0,0
12/31/2023 04:03:24,12/31/2023 10:03:24,10,12,,13,14,,116,137,139,140,140,0,43.5,,40,,0,0
12/31/2023 05:03:24,12/31/2023 11:03:24,10,11,,12,12,,106,126,128,128,128,0,44.8,,40,,0,0
12/31/2023 06:03:24,12/31/2023 12:03:24,9,10,,11,11,,96,113,115,115,115,0,46.0,,40,,0,0
12/31/2023 07:03:24,12/31/2023 13:03:24,7,9,,9,10,,81,95,97,97,97,0,47.1,,40,,0,0
12/31/2023 08:03:24,12/31/2023 14:03:24,7,8,,8,9,,73,87,88,88,88,0,47.7,,40,,0,0
12/31/2023 09:03:24,12/31/2023 15:03:24,8,9,,9,10,,82,97,98,99,99,0,48.2,,40,,0,0
12/31/2023 10:03:24,12/31/2023 16:03:24,8,9,,10,10,,87,103,104,105,105,0,48.4,,40,,0,0
12/31/2023 11:03:24,12/31/2023 17:03:24,12,14,,15,16,,129,152,155,155,155,0,48.4,,40,,0,0
12/31/2023 12:03:24,12/31/2023 18:03:24,15,17,,18,19,,159,187,190,191,191,0,48.2,,41,,0,0
12/31/2023 13:03:24,12/31/2023 19:03:24,17,20,,21,22,,186,219,223,224,224,0,48.0,,41,,0,0
12/31/2023 14:03:24,12/31/2023 20:03:24,19,22,,24,24,,205,242,245,246,247,0,47.7,,41,,0,0
12/31/2023 15:03:24,12/31/2023 21:03:24,19,22,,23,24,,204,240,244,245,245,0,47.3,,41,,0,0
12/31/2023 16:03:24,12/31/2023 22:03:24,20,23,,25,25,,214,252,257,257,258,0,47.1,,40,,0,0
12/31/2023 17:03:24,12/31/2023 23:03:24,22,25,,27,28,,237,279,283,284,284,0,46.8,,40,,0,0
12/31/2023 18:03:24,01/01/2024 00:03:24,26,29,,31,32,,283,331,335,336,337,0,46.2,,40,,0,0
12/31/2023 19:03:24,01/01/2024 01:03:24,43,47,,49,50,,482,559,564,565,565,0,45.9,,40,,0,0
12/31/2023 20:03:24,01/01/2024 02:03:24,45,49,,50,51,,503,584,588,589,590,0,45.5,,40,,0,0
12/31/2023 21:03:24,01/01/2024 03:03:24,42,46,,47,48,,470,545,550,550,551,0,45.1,,40,,0,0
12/31/2023 22:03:24,01/01/2024 04:03:24,38,42,,44,44,,434,503,507,508,509,0,44.8,,40,,0,0
12/31/2023 23:03:24,01/01/2024 05:03:24,34,38,,39,40,,388,451,455,455,456,0,44.6,,40,,0,0
01/01/2024 00:03:24,01/01/2024 06:03:24,30,33,,34,35,,341,396,399,400,400,0,44.4,,40,,0,0
01/01/2024 01:03:24,01/01/2024 07:03:24,27,29,,30,31,,302,350,353,354,354,0,44.1,,40,,0,0
01/01/2024 02:03:24,01/01/2024 08:03:24,24,26,,27,28,,272,316,319,319,319,0,43.9,,40,,0,0
01/01/2024 03:03:24,01/01/2024 09:03:24,21,24,,24,25,,245,284,286,287,287,0,43.9,,40,,0,0
01/01/2024 04:03:24,01/01/2024 10:03:24,20,22,,22,23,,222,258,260,260,260,0,44.6,,40,,0,0
01/01/2024 05:03:24,01/01/2024 11:03:24,17,19,,20,20,,197,229,231,231,231,0,46.0,,40,,0,0
01/01/2024 06:03:24,01/01/2024 12:03:24,15,17,,17,18,,171,198,200,200,200,0,47.5,,40,,0,0
01/01/2024 07:03:24,01/01/2024 13:03:24,13,15,,15,16,,150,174,175,175,176,0,48.7,,40,,0,0
01/01/2024 08:03:24,01/01/2024 14:03:24,12,13,,13,14,,129,150,151,151,151,0,49.6,,40,,0,0
01/01/2024 09:03:24,01/01/2024 15:03:24,10,11,,12,12,,115,133,134,135,135,0,50.0,,40,,0,0
01/01/2024 10:03:24,01/01/2024 16:03:24,10,11,,12,12,,113,131,132,132,132,0,50.4,,40,,0,0
01/01/2024 11:03:24,01/01/2024 17:03:24,10,11,,11,11,,107,125,126,126,126,0,50.4,,40,,0,0
01/01/2024 12:03:24,01/01/2024 18:03:24,10,11,,12,12,,112,130,131,131,131,0,50.2,,40,,0,0
01/01/2024 13:03:24,01/01/2024 19:03:24,12,13,,14,14,,130,151,153,153,153,0,50.0,,40,,0,0
01/01/2024 14:03:24,01/01/2024 20:03:24,13,15,,16,16,,144,168,170,170,171,0,49.6,,40,,0,0
01/01/2024 15:03:24,01/01/2024 21:03:24,13,15,,16,16,,146,170,172,173,173,0,49.3,,40,,0,0
01/01/2024 16:03:24,01/01/2024 22:03:24,12,14,,15,15,,135,158,160,161,161,0,49.1,,40,,0,0
01/01/2024 17:03:24,01/01/2024 23:03:24,11,13,,14,14,,126,147,149,149,149,0,48.9,,40,,0,0
01/01/2024 18:03:24,01/02/2024 00:03:24,11,12,,13,13,,119,139,140,140,141,0,48.7,,40,,0,0
01/01/2024 19:03:24,01/02/2024 01:03:24,10,12,,12,12,,112,131,133,133,133,0,48.6,,40,,0,0
01/01/2024 20:03:24,01/02/2024 02:03:24,10,11,,11,12,,105,123,124,125,125,0,48.6,,40,,0,0
01/01/2024 21:03:24,01/02/2024 03:03:24,9,10,,11,11,,98,115,116,116,116,0,48.4,,40,,0,0
01/01/2024 22:03:24,01/02/2024 04:03:24,8,9,,10,10,,90,105,107,107,107,0,48.2,,40,,0,0
01/01/2024 23:03:24,01/02/2024 05:03:24,8,9,,9,9,,83,97,98,98,98,0,48.0,,40,,0,0
01/02/2024 00:03:24,01/02/2024 06:03:24,7,8,,8,8,,75,88,89,89,89,0,48.0,,39,,0,0
01/02/2024 01:03:24,01/02/2024 07:03:24,7,7,,8,8,,72,84,85,85,85,0,48.0,,39,,0,0
01/02/2024 02:03:24,01/02/2024 08:03:24,6,7,,8,8,,69,81,82,82,82,0,48.0,,39,,0,0
01/02/2024 03:03:24,01/02/2024 09:03:24,6,7,,7,8,,66,78,79,79,79,0,48.0,,39,,0,0
01/02/2024 04:03:24,01/02/2024 10:03:24,7,8,,8,8,,73,86,87,87,87,0,48.2,,39,,0,0
01/02/2024 05:03:24,01/02/2024 11:03:24,7,8,,9,9,,80,94,95,95,95,0,48.6,,39,,0,0
01/02/2024 06:03:24,01/02/2024 12:03:24,8,9,,10,10,,84,99,101,101,101,0,49.1,,39,,0,0
01/02/2024 07:03:24,01/02/2024 13:03:24,9,10,,10,11,,92,109,110,111,111,0,49.6,,39,,0,0
01/02/2024 08:03:24,01/02/2024 14:03:24,13,15,,16,17,,142,167,170,170,170,0,50.2,,40,,0,0
01/02/2024 09:03:24,01/02/2024 15:03:24,21,24,,26,27,,220,260,264,265,265,0,50.5,,40,,0,0
01/02/2024 10:03:24,01/02/2024 16:03:24,21,24,,26,27,,224,264,268,269,269,0,50.7,,40,,0,0
01/02/2024 11:03:24,01/02/2024 17:03:24,21,25,,26,27,,227,267,272,272,273,0,50.7,,40,,0,0
01/02/2024 12:03:24,01/02/2024 18:03:24,22,26,,27,28,,237,279,283,284,284,0,50.4,,41,,0,0
01/02/2024 13:03:24,01/02/2024 19:03:24,24,28,,30,31,,260,306,311,312,312,0,50.0,,41,,0,0
01/02/2024 14:03:24,01/02/2024 20:03:24,28,32,,35,36,,297,350,356,358,358,0,49.5,,41,,0,0
01/02/2024 15:03:24,01/02/2024 21:03:24,31,36,,39,40,,330,391,398,399,399,0,48.9,,41,,0,0
01/02/2024 16:03:24,01/02/2024 22:03:24,32,38,,40,42,,347,410,417,418,419,0,48.2,,41,,0,0
01/02/2024 17:03:24,01/02/2024 23:03:24,32,37,,40,41,,342,404,411,412,413,0,47.7,,41,,0,0
01/02/2024 18:03:24,01/03/2024 00:03:24,30,35,,38,39,,330,389,395,397,397,0,47.1,,41,,0,0
01/02/2024 19:03:24,01/03/2024 01:03:24,31,36,,39,40,,339,400,407,408,408,0,46.6,,41,,0,0
01/02/2024 20:03:24,01/03/2024 02:03:24,32,37,,40,41,,354,417,423,425,425,0,46.2,,41,,0,0
01/02/2024 21:03:24,01/03/2024 03:03:24,32,38,,41,42,,355,420,427,428,428,0,45.7,,41,,0,0
01/02/2024 22:03:24,01/03/2024 04:03:24,32,37,,40,41,,349,412,419,420,421,0,45.1,,41,,0,0
01/02/2024 23:03:24,01/03/2024 05:03:24,30,35,,38,39,,332,392,399,400,400,0,44.6,,41,,0,0
01/03/2024 00:03:24,01/03/2024 06:03:24,28,33,,35,36,,313,369,375,376,376,0,44.2,,41,,0,0
01/03/2024 01:03:24,01/03/2024 07:03:24,27,31,,33,34,,295,348,354,355,355,0,43.7,,41,,0,0
01/03/2024 02:03:24,01/03/2024 08:03:24,25,29,,31,32,,279,329,334,335,336,0,43.3,,41,,0,0
01/03/2024 03:03:24,01/03/2024 09:03:24,24,28,,31,32,,271,320,325,326,326,0,43.2,,41,,0,0
01/03/2024 04:03:24,01/03/2024 10:03:24,24,28,,30,31,,267,316,321,322,322,0,43.3,,41,,0,0
01/03/2024 05:03:24,01/03/2024 11:03:24,24,28,,30,31,,268,316,321,322,322,0,44.1,,41,,0,0
01/03/2024 06:03:24,01/03/2024 12:03:24,25,29,,31,32,,273,321,327,328,328,0,45.1,,41,,0,0
01/03/2024 07:03:24,01/03/2024 13:03:24,26,30,,32,33,,280,330,336,337,337,0,46.2,,41,,0,0
01/03/2024 08:03:24,01/03/2024 14:03:24,26,30,,32,33,,288,339,344,345,345,0,47.1,,41,,0,0
01/03/2024 09:03:24,01/03/2024 15:03:24,32,37,,40,41,,345,407,413,415,415,0,47.7,,41,,0,0
01/03/2024 10:03:24,01/03/2024 16:03:24,41,48,,52,54,,449,530,539,540,541,0,48.0,,41,,0,0
01/03/2024 11:03:24,01/03/2024 17:03:24,45,52,,57,59,,487,575,584,586,587,0,48.2,,41,,0,0
01/03/2024 12:03:24,01/03/2024 18:03:24,54,63,,69,71,,583,691,703,705,706,0,47.8,,41,,0,0
01/03/2024 13:03:24,01/03/2024 19:03:24,64,75,,82,85,,688,816,831,834,835,0,47.3,,41,,0,0
01/03/2024 14:03:24,01/03/2024 20:03:24,67,79,,86,90,,721,856,872,876,877,0,46.8,,41,,0,0
