Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC+06:00,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,Fahrenheit,Celsius,%,,,
12/31/2023 00:18:25,12/31/2023 06:18:25,11,13,,13,13,,137,155,156,156,156,0,42.1,,40,,0,0
12/31/2023 01:18:25,12/31/2023 07:18:25,10,11,,11,11,,121,137,138,138,138,0,42.3,,40,,0,0
12/31/2023 02:18:25,12/31/2023 08:18:25,9,10,,10,11,,112,127,128,128,128,0,42.3,,40,,0,0
12/31/2023 03:18:25,12/31/2023 09:18:25,9,9,,10,10,,104,117,118,118,118,0,43.3,,40,,0,0
12/31/2023 04:18:25,12/31/2023 10:18:25,8,9,,9,9,,94,106,107,107,107,0,45.1,,38,,0,0
12/31/2023 05:18:25,12/31/2023 11:18:25,7,8,,8,8,,86,97,97,97,97,0,45.3,,39,,0,0
12/31/2023 06:18:25,12/31/2023 12:18:25,6,7,,7,7,,76,86,86,86,86,0,46.6,,40,,0,0
12/31/2023 07:18:25,12/31/2023 13:18:25,6,6,,6,6,,65,73,73,73,73,0,48.0,,39,,0,0
12/31/2023 08:18:25,12/31/2023 14:18:25,5,6,,6,6,,62,70,70,70,70,0,47.8,,40,,0,0
12/31/2023 09:18:25,12/31/2023 15:18:25,6,6,,7,7,,69,78,78,78,78,0,48.0,,40,,0,0
12/31/2023 10:18:25,12/31/2023 16:18:25,7,7,,7,7,,77,87,87,87,87,0,48.2,,41,,0,0
12/31/2023 11:18:25,12/31/2023 17:18:25,10,11,,11,11,,114,129,129,129,129,0,48.2,,41,,0,0
12/31/2023 12:18:25,12/31/2023 18:18:25,12,13,,13,13,,140,158,158,158,159,0,48.0,,41,,0,0
12/31/2023 13:18:25,12/31/2023 19:18:25,14,15,,15,15,,160,181,182,182,182,0,47.8,,41,,0,0
12/31/2023 14:18:25,12/31/2023 20:18:25,15,16,,16,16,,171,193,194,194,194,0,47.5,,41,,0,0
12/31/2023 15:18:25,12/31/2023 21:18:25,15,16,,16,17,,174,197,198,198,198,0,47.1,,41,,0,0
12/31/2023 16:18:25,12/31/2023 22:18:25,16,17,,18,18,,188,212,213,214,214,0,46.9,,41,,0,0
12/31/2023 17:18:25,12/31/2023 23:18:25,17,18,,19,19,,200,226,227,227,227,0,46.4,,41,,0,0
12/31/2023 18:18:25,01/01/2024 00:18:25,23,25,,25,25,,274,308,309,310,310,0,46.2,,40,,0,0
12/31/2023 19:18:25,01/01/2024 01:18:25,33,35,,35,35,,389,437,438,438,439,0,45.9,,40,,0,0
12/31/2023 20:18:25,01/01/2024 02:18:25,32,34,,35,35,,381,428,430,430,430,0,45.5,,40,,0,0
12/31/2023 21:18:25,01/01/2024 03:18:25,30,32,,32,33,,357,402,403,403,403,0,45.7,,40,,0,0
12/31/2023 22:18:25,01/01/2024 04:18:25,28,29,,30,30,,328,368,369,369,369,0,45.1,,40,,0,0
12/31/2023 23:18:25,01/01/2024 05:18:25,24,26,,26,26,,290,325,326,327,327,0,44.4,,40,,0,0
01/01/2024 00:18:25,01/01/2024 06:18:25,21,23,,23,23,,255,287,287,288,288,0,44.2,,40,,0,0
01/01/2024 01:18:25,01/01/2024 07:18:25,19,20,,21,21,,229,257,258,258,258,0,43.9,,40,,0,0
01/01/2024 02:18:25,01/01/2024 08:18:25,17,18,,18,18,,205,230,231,231,231,0,43.7,,40,,0,0
01/01/2024 03:18:25,01/01/2024 09:18:25,16,17,,17,17,,185,208,208,209,209,0,44.6,,39,,0,0
01/01/2024 04:18:25,01/01/2024 10:18:25,14,15,,15,15,,166,187,188,188,188,0,46.0,,38,,0,0
01/01/2024 05:18:25,01/01/2024 11:18:25,12,13,,13,13,,147,165,165,165,165,0,46.4,,40,,0,0
01/01/2024 06:18:25,01/01/2024 12:18:25,11,12,,12,12,,127,143,143,143,144,0,48.7,,39,,0,0
01/01/2024 07:18:25,01/01/2024 13:18:25,10,10,,10,10,,110,124,124,124,124,0,49.3,,40,,0,0
01/01/2024 08:18:25,01/01/2024 14:18:25,8,9,,9,9,,96,108,109,109,109,0,49.5,,40,,0,0
01/01/2024 09:18:25,01/01/2024 15:18:25,8,8,,8,8,,88,99,100,100,100,0,49.8,,40,,0,0
01/01/2024 10:18:25,01/01/2024 16:18:25,8,8,,8,8,,87,97,98,98,98,0,50.0,,41,,0,0
01/01/2024 11:18:25,01/01/2024 17:18:25,7,8,,8,8,,84,95,95,95,95,0,50.7,,40,,0,0
01/01/2024 12:18:25,01/01/2024 18:18:25,8,9,,9,9,,92,103,104,104,104,0,50.7,,40,,0,0
01/01/2024 13:18:25,01/01/2024 19:18:25,9,10,,10,10,,108,122,122,122,122,0,49.6,,40,,0,0
01/01/2024 14:18:25,01/01/2024 20:18:25,10,11,,11,11,,117,132,132,133,133,0,49.5,,40,,0,0
01/01/2024 15:18:25,01/01/2024 21:18:25,10,11,,11,11,,114,128,129,129,129,0,49.1,,40,,0,0
01/01/2024 16:18:25,01/01/2024 22:18:25,9,10,,10,10,,107,120,120,121,121,0,49.6,,39,,0,0
01/01/2024 17:18:25,01/01/2024 23:18:25,9,9,,9,9,,100,112,113,113,113,0,48.9,,40,,0,0
01/01/2024 18:18:25,01/02/2024 00:18:25,8,9,,9,9,,93,105,105,106,106,0,48.7,,40,,0,0
01/01/2024 19:18:25,01/02/2024 01:18:25,8,8,,8,8,,88,99,99,99,99,0,48.6,,40,,0,0
01/01/2024 20:18:25,01/02/2024 02:18:25,7,8,,8,8,,82,92,93,93,93,0,48.2,,40,,0,0
01/01/2024 21:18:25,01/02/2024 03:18:25,7,7,,7,7,,77,87,87,87,87,0,48.2,,40,,0,0
01/01/2024 22:18:25,01/02/2024 04:18:25,6,7,,7,7,,71,80,80,80,80,0,48.2,,40,,0,0
01/01/2024 23:18:25,01/02/2024 05:18:25,6,6,,6,6,,65,74,74,74,74,0,48.0,,40,,0,0
01/02/2024 00:18:25,01/02/2024 06:18:25,5,5,,6,6,,60,67,67,67,67,0,47.8,,40,,0,0
01/02/2024 01:18:25,01/02/2024 07:18:25,5,5,,5,5,,58,65,65,65,65,0,47.8,,40,,0,0
01/02/2024 02:18:25,01/02/2024 08:18:25,5,5,,5,5,,55,62,62,62,62,0,47.8,,40,,0,0
01/02/2024 03:18:25,01/02/2024 09:18:25,5,5,,5,5,,53,60,60,60,60,0,48.2,,39,,0,0
01/02/2024 04:18:25,01/02/2024 10:18:25,5,6,,6,6,,60,68,68,68,68,0,48.4,,39,,0,0
01/02/2024 05:18:25,01/02/2024 11:18:25,6,6,,6,6,,67,75,75,75,75,0,48.6,,40,,0,0
01/02/2024 06:18:25,01/02/2024 12:18:25,6,7,,7,7,,71,80,80,80,80,0,49.1,,39,,0,0
01/02/2024 07:18:25,01/02/2024 13:18:25,7,7,,7,7,,79,89,89,89,89,0,49.6,,40,,0,0
01/02/2024 08:18:25,01/02/2024 14:18:25,12,13,,14,14,,143,161,162,162,162,0,50.0,,40,,0,0
01/02/2024 09:18:25,01/02/2024 15:18:25,16,17,,18,18,,185,209,209,210,210,0,50.4,,41,,0,0
01/02/2024 10:18:25,01/02/2024 16:18:25,16,18,,18,18,,186,210,211,211,211,0,50.5,,41,,0,0
01/02/2024 11:18:25,01/02/2024 17:18:25,16,18,,18,18,,189,212,213,214,214,0,50.5,,41,,0,0
01/02/2024 12:18:25,01/02/2024 18:18:25,17,19,,19,19,,199,224,225,226,226,0,50.2,,41,,0,0
01/02/2024 13:18:25,01/02/2024 19:18:25,19,21,,21,22,,224,253,254,254,254,0,49.8,,41,,0,0
01/02/2024 14:18:25,01/02/2024 20:18:25,22,24,,25,25,,259,292,293,293,293,0,49.5,,40,,0,0
01/02/2024 15:18:25,01/02/2024 21:18:25,24,26,,27,27,,279,315,316,316,317,0,48.9,,40,,0,0
01/02/2024 16:18:25,01/02/2024 22:18:25,25,27,,28,28,,290,327,329,329,329,0,47.8,,41,,0,0
01/02/2024 17:18:25,01/02/2024 23:18:25,24,26,,26,27,,282,317,319,319,319,0,47.5,,41,,0,0
01/02/2024 18:18:25,01/03/2024 00:18:25,23,25,,26,26,,274,309,310,311,311,0,46.9,,41,,0,0
01/02/2024 19:18:25,01/03/2024 01:18:25,24,26,,27,27,,285,322,323,323,323,0,46.2,,41,,0,0
01/02/2024 20:18:25,01/03/2024 02:18:25,25,27,,27,28,,295,332,334,334,334,0,45.9,,41,,0,0
01/02/2024 21:18:25,01/03/2024 03:18:25,25,27,,28,28,,296,334,335,335,336,0,45.5,,41,,0,0
01/02/2024 22:18:25,01/03/2024 04:18:25,24,26,,27,27,,287,324,325,325,325,0,44.8,,41,,0,0
01/02/2024 23:18:25,01/03/2024 05:18:25,23,25,,25,25,,271,305,307,307,307,0,44.4,,41,,0,0
01/03/2024 00:18:25,01/03/2024 06:18:25,21,23,,24,24,,255,287,288,289,289,0,43.9,,41,,0,0
01/03/2024 01:18:25,01/03/2024 07:18:25,20,22,,22,22,,240,271,272,272,272,0,43.5,,41,,0,0
01/03/2024 02:18:25,01/03/2024 08:18:25,19,21,,21,21,,228,257,259,259,259,0,43.5,,40,,0,0
01/03/2024 03:18:25,01/03/2024 09:18:25,19,20,,21,21,,223,252,253,253,253,0,43.0,,41,,0,0
01/03/2024 04:18:25,01/03/2024 10:18:25,18,20,,20,20,,221,248,250,250,250,0,43.5,,40,,0,0
01/03/2024 05:18:25,01/03/2024 11:18:25,19,20,,21,21,,223,251,253,253,253,0,44.1,,41,,0,0
