Timestamp,Timestamp (Local),PM 1.0,PM 2.5,Applied PM 2.5 Custom Calibration Setting - Multiplication Factor,PM 4.0,PM 10,Applied PM 10 Custom Calibration Setting - Multiplication Factor,NC 0.5,NC 1.0,NC 2.5,NC 4.0,NC 10,PM Sensor Error Status,Temperature,Applied Temperature Custom Calibration Setting - Offset,Relative Humidity,Applied Relative Humidity Custom Calibration Setting - Offset,Temperature/Humidity Sensor Error Status,Device Status
UTC,UTC+06:00,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,,Fahrenheit,Celsius,%,,,
12/31/2023 00:12:36,12/31/2023 06:12:36,11,12,,12,12,,124,141,142,142,142,0,42.6,,39,,0,0
12/31/2023 01:12:36,12/31/2023 07:12:36,10,11,,11,11,,110,124,125,125,125,0,42.3,,39,,0,0
12/31/2023 02:12:36,12/31/2023 08:12:36,9,10,,10,10,,102,116,117,117,117,0,41.9,,40,,0,0
12/31/2023 03:12:36,12/31/2023 09:12:36,8,9,,9,9,,95,108,108,108,108,0,42.6,,40,,0,0
12/31/2023 04:12:36,12/31/2023 10:12:36,8,8,,9,9,,85,97,97,97,97,0,47.8,,35,,0,0
12/31/2023 05:12:36,12/31/2023 11:12:36,7,8,,8,8,,78,88,88,88,88,0,48.4,,35,,0,0
12/31/2023 06:12:36,12/31/2023 12:12:36,6,7,,7,7,,68,77,78,78,78,0,47.7,,37,,0,0
12/31/2023 07:12:36,12/31/2023 13:12:36,5,6,,6,6,,59,67,67,67,67,0,47.3,,39,,0,0
12/31/2023 08:12:36,12/31/2023 14:12:36,5,6,,6,6,,57,64,65,65,65,0,48.4,,38,,0,0
12/31/2023 09:12:36,12/31/2023 15:12:36,6,6,,6,6,,62,71,71,71,71,0,48.7,,39,,0,0
12/31/2023 10:12:36,12/31/2023 16:12:36,6,7,,7,7,,69,79,79,79,79,0,48.9,,39,,0,0
12/31/2023 11:12:36,12/31/2023 17:12:36,9,10,,10,10,,101,114,115,115,115,0,48.9,,39,,0,0
12/31/2023 12:12:36,12/31/2023 18:12:36,11,12,,12,13,,125,141,142,142,142,0,48.7,,39,,0,0
12/31/2023 13:12:36,12/31/2023 19:12:36,13,15,,15,15,,149,168,169,169,169,0,48.4,,39,,0,0
12/31/2023 14:12:36,12/31/2023 20:12:36,14,15,,15,16,,155,176,177,177,177,0,47.8,,39,,0,0
12/31/2023 15:12:36,12/31/2023 21:12:36,14,15,,16,16,,159,179,180,181,181,0,47.1,,40,,0,0
12/31/2023 16:12:36,12/31/2023 22:12:36,15,17,,17,17,,170,193,194,194,194,0,47.1,,40,,0,0
12/31/2023 17:12:36,12/31/2023 23:12:36,16,18,,18,18,,182,206,207,207,207,0,46.9,,39,,0,0
12/31/2023 18:12:36,01/01/2024 00:12:36,22,23,,23,23,,242,273,274,274,274,0,46.2,,40,,0,0
12/31/2023 19:12:36,01/01/2024 01:12:36,31,33,,34,34,,354,398,399,400,400,0,45.9,,40,,0,0
12/31/2023 20:12:36,01/01/2024 02:12:36,31,33,,33,33,,352,396,397,398,398,0,45.5,,39,,8,0
12/31/2023 21:12:36,01/01/2024 03:12:36,29,31,,31,31,,328,369,370,370,370,0,45.3,,39,,0,0
12/31/2023 22:12:36,01/01/2024 04:12:36,27,28,,28,28,,301,338,339,339,339,0,45.1,,39,,0,0
12/31/2023 23:12:36,01/01/2024 05:12:36,24,25,,25,25,,268,301,302,302,302,0,45.0,,39,,0,0
01/01/2024 00:12:36,01/01/2024 06:12:36,21,22,,22,22,,236,266,266,266,266,0,44.6,,39,,0,0
01/01/2024 01:12:36,01/01/2024 07:12:36,18,20,,20,20,,210,236,236,237,237,0,44.2,,39,,0,0
01/01/2024 02:12:36,01/01/2024 08:12:36,17,18,,18,18,,189,212,213,213,213,0,43.7,,39,,0,0
01/01/2024 03:12:36,01/01/2024 09:12:36,15,16,,16,16,,170,191,192,192,192,0,44.4,,39,,0,0
01/01/2024 04:12:36,01/01/2024 10:12:36,14,15,,15,15,,151,170,170,170,170,0,50.9,,34,,0,0
01/01/2024 05:12:36,01/01/2024 11:12:36,12,13,,13,13,,133,150,150,150,150,0,50.2,,35,,0,0
01/01/2024 06:12:36,01/01/2024 12:12:36,10,11,,11,11,,114,129,129,129,129,0,49.8,,37,,0,0
01/01/2024 07:12:36,01/01/2024 13:12:36,9,10,,10,10,,102,114,115,115,115,0,50.0,,38,,0,0
01/01/2024 08:12:36,01/01/2024 14:12:36,8,9,,9,9,,88,99,99,99,100,0,50.4,,38,,0,0
01/01/2024 09:12:36,01/01/2024 15:12:36,7,8,,8,8,,81,91,92,92,92,0,50.2,,39,,0,0
01/01/2024 10:12:36,01/01/2024 16:12:36,7,8,,8,8,,79,88,89,89,89,0,50.4,,39,,0,0
01/01/2024 11:12:36,01/01/2024 17:12:36,7,7,,7,7,,76,86,86,86,86,0,51.1,,39,,0,0
01/01/2024 12:12:36,01/01/2024 18:12:36,8,8,,8,8,,84,94,95,95,95,0,51.6,,38,,0,0
01/01/2024 13:12:36,01/01/2024 19:12:36,9,10,,10,10,,98,110,111,111,111,0,50.2,,39,,0,0
01/01/2024 14:12:36,01/01/2024 20:12:36,10,10,,10,11,,106,120,120,120,120,0,50.0,,39,,0,0
01/01/2024 15:12:36,01/01/2024 21:12:36,9,10,,10,10,,104,117,118,118,118,0,49.5,,39,,0,0
01/01/2024 16:12:36,01/01/2024 22:12:36,9,9,,10,10,,97,109,110,110,110,0,49.6,,38,,0,0
01/01/2024 17:12:36,01/01/2024 23:12:36,8,9,,9,9,,90,102,102,102,103,0,49.1,,39,,0,0
01/01/2024 18:12:36,01/02/2024 00:12:36,8,8,,8,8,,85,96,96,96,96,0,48.9,,39,,0,0
01/01/2024 19:12:36,01/02/2024 01:12:36,7,8,,8,8,,80,90,90,90,90,0,48.9,,39,,0,0
01/01/2024 20:12:36,01/02/2024 02:12:36,7,7,,7,7,,75,85,85,85,85,0,48.2,,39,,0,0
01/01/2024 21:12:36,01/02/2024 03:12:36,6,7,,7,7,,70,79,79,79,79,0,48.6,,39,,0,0
01/01/2024 22:12:36,01/02/2024 04:12:36,6,6,,6,6,,65,73,73,73,73,0,48.6,,38,,0,0
01/01/2024 23:12:36,01/02/2024 05:12:36,5,6,,6,6,,59,67,67,67,67,0,48.2,,39,,0,0
01/02/2024 00:12:36,01/02/2024 06:12:36,5,5,,5,5,,54,61,61,61,61,0,47.8,,39,,0,0
01/02/2024 01:12:36,01/02/2024 07:12:36,5,5,,5,5,,52,59,59,60,60,0,48.2,,38,,0,0
01/02/2024 02:12:36,01/02/2024 08:12:36,4,5,,5,5,,50,56,57,57,57,0,47.7,,39,,0,0
01/02/2024 03:12:36,01/02/2024 09:12:36,4,5,,5,5,,48,54,54,54,54,0,48.4,,38,,0,0
01/02/2024 04:12:36,01/02/2024 10:12:36,5,5,,5,5,,54,60,61,61,61,0,48.7,,38,,0,0
01/02/2024 05:12:36,01/02/2024 11:12:36,5,6,,6,6,,59,67,67,67,67,0,48.9,,38,,0,0
01/02/2024 06:12:36,01/02/2024 12:12:36,6,6,,6,6,,63,71,72,72,72,0,49.3,,38,,0,0
01/02/2024 07:12:36,01/02/2024 13:12:36,6,7,,7,7,,70,79,80,80,80,0,49.8,,39,,0,0
01/02/2024 08:12:36,01/02/2024 14:12:36,11,12,,12,13,,124,140,141,141,141,0,50.4,,39,,0,0
01/02/2024 09:12:36,01/02/2024 15:12:36,15,17,,17,17,,168,190,191,191,191,0,50.5,,40,,0,0
01/02/2024 10:12:36,01/02/2024 16:12:36,15,17,,17,17,,168,190,191,191,191,0,50.9,,39,,0,0
01/02/2024 11:12:36,01/02/2024 17:12:36,16,17,,17,17,,172,194,195,195,195,0,51.1,,39,,0,0
01/02/2024 12:12:36,01/02/2024 18:12:36,17,18,,18,18,,181,204,205,206,206,0,50.7,,39,,0,0
01/02/2024 13:12:36,01/02/2024 19:12:36,18,20,,20,20,,202,228,229,229,229,0,50.4,,39,,0,0
01/02/2024 14:12:36,01/02/2024 20:12:36,21,23,,24,24,,235,266,267,267,267,0,49.6,,39,,0,0
01/02/2024 15:12:36,01/02/2024 21:12:36,24,25,,26,26,,259,293,294,294,295,0,49.1,,39,,0,0
01/02/2024 16:12:36,01/02/2024 22:12:36,24,26,,27,27,,268,303,304,304,304,0,47.8,,40,,0,0
01/02/2024 17:12:36,01/02/2024 23:12:36,23,25,,25,26,,258,291,292,293,293,0,47.8,,40,,0,0
