Timestamp (Local),PM 1.0,PM 2.5,PM 4.0,PM 10
2023-12-31 06:00:00,11.700000000000001,12.46,13.35,13.2
2023-12-31 07:00:00,9.9,11.57,11.57,11.44
2023-12-31 08:00:00,9.0,10.68,10.68,10.56
2023-12-31 09:00:00,9.0,9.790000000000001,9.790000000000001,9.68
2023-12-31 10:00:00,8.1,8.9,8.9,8.8
2023-12-31 11:00:00,7.2,8.01,8.01,7.92
2023-12-31 12:00:00,6.3,7.12,7.12,7.04
2023-12-31 13:00:00,5.4,6.23,6.23,6.16
2023-12-31 14:00:00,5.4,6.23,6.23,6.16
2023-12-31 15:00:00,6.3,6.23,6.23,7.04
2023-12-31 16:00:00,6.3,7.12,7.12,7.04
2023-12-31 17:00:00,9.9,10.68,10.68,10.56
2023-12-31 18:00:00,11.700000000000001,12.46,13.35,13.2
2023-12-31 19:00:00,13.5,15.13,15.13,14.96
2023-12-31 20:00:00,14.4,16.02,16.02,15.84
2023-12-31 21:00:00,14.4,16.02,16.91,16.72
2023-12-31 22:00:00,16.2,16.91,17.8,17.6
2023-12-31 23:00:00,17.1,18.69,19.580000000000002,19.36
2024-01-01 00:00:00,23.400000000000002,24.92,24.92,25.52
2024-01-01 01:00:00,33.300000000000004,34.71,35.6,35.2
2024-01-01 02:00:00,32.4,34.71,34.71,34.32
2024-01-01 03:00:00,30.6,32.04,32.04,32.56
2024-01-01 04:00:00,27.900000000000002,29.37,30.26,29.92
2024-01-01 05:00:00,25.2,26.7,26.7,26.4
2024-01-01 06:00:00,21.6,23.14,23.14,22.88
2024-01-01 07:00:00,18.900000000000002,20.47,20.47,20.24
2024-01-01 08:00:00,17.1,18.69,18.69,18.48
2024-01-01 09:00:00,15.3,16.91,16.91,16.72
2024-01-01 10:00:00,14.4,15.13,15.13,14.96
2024-01-01 11:00:00,12.6,13.35,13.35,13.2
2024-01-01 12:00:00,10.8,11.57,11.57,12.32
2024-01-01 13:00:00,9.9,10.68,10.68,10.56
2024-01-01 14:00:00,8.1,8.9,8.9,8.8
2024-01-01 15:00:00,8.1,8.01,8.01,7.92
2024-01-01 16:00:00,7.2,8.01,8.01,7.92
2024-01-01 17:00:00,7.2,8.01,8.01,7.92
2024-01-01 18:00:00,8.1,8.9,8.9,8.8
2024-01-01 19:00:00,9.0,9.790000000000001,9.790000000000001,9.68
2024-01-01 20:00:00,9.9,10.68,10.68,11.44
2024-01-01 21:00:00,9.9,10.68,10.68,10.56
2024-01-01 22:00:00,9.0,9.790000000000001,9.790000000000001,9.68
2024-01-01 23:00:00,8.1,8.9,8.9,9.68
2024-01-02 00:00:00,8.1,8.9,8.9,8.8
2024-01-02 01:00:00,8.1,8.01,8.01,8.8
2024-01-02 02:00:00,7.2,8.01,8.01,7.92
2024-01-02 03:00:00,6.3,7.12,7.12,7.04
2024-01-02 04:00:00,6.3,6.23,6.23,7.04
2024-01-02 05:00:00,5.4,6.23,6.23,6.16
2024-01-02 06:00:00,5.4,5.34,5.34,5.28
2024-01-02 07:00:00,4.5,5.34,5.34,5.28
2024-01-02 08:00:00,4.5,5.34,5.34,5.28
2024-01-02 09:00:00,4.5,5.34,5.34,5.28
2024-01-02 10:00:00,5.4,5.34,5.34,5.28
2024-01-02 11:00:00,5.4,6.23,6.23,6.16
2024-01-02 12:00:00,6.3,6.23,7.12,7.04
2024-01-02 13:00:00,7.2,7.12,7.12,7.04
2024-01-02 14:00:00,11.700000000000001,13.35,13.35,13.2
2024-01-02 15:00:00,16.2,17.8,17.8,18.48
2024-01-02 16:00:00,16.2,17.8,17.8,17.6
2024-01-02 17:00:00,16.2,17.8,18.69,18.48
2024-01-02 18:00:00,17.1,18.69,19.580000000000002,19.36
2024-01-02 19:00:00,18.900000000000002,20.47,21.36,21.12
2024-01-02 20:00:00,21.6,24.03,24.92,24.64
2024-01-02 21:00:00,24.3,26.7,26.7,27.28
2024-01-02 22:00:00,25.2,27.59,28.48,28.16
2024-01-02 23:00:00,24.3,26.7,26.7,27.28
2024-01-03 00:00:00,23.400000000000002,24.92,25.81,26.4
2024-01-03 01:00:00,24.3,26.7,26.7,27.28
2024-01-03 02:00:00,25.2,26.7,27.59,28.16
2024-01-03 03:00:00,25.2,27.59,27.59,28.16
2024-01-03 04:00:00,24.3,26.7,26.7,27.28
2024-01-03 05:00:00,23.400000000000002,24.92,25.81,25.52
2024-01-03 06:00:00,21.6,23.14,24.03,23.76
2024-01-03 07:00:00,19.8,22.25,22.25,22.88
2024-01-03 08:00:00,18.900000000000002,20.47,21.36,21.12
2024-01-03 09:00:00,18.900000000000002,20.47,20.47,21.12
2024-01-03 10:00:00,18.900000000000002,20.47,20.47,21.12
2024-01-03 11:00:00,18.900000000000002,20.47,20.47,21.12
2024-01-03 12:00:00,18.900000000000002,20.47,21.36,21.12
2024-01-03 13:00:00,19.8,21.36,22.25,22.0
2024-01-03 14:00:00,20.7,22.25,22.25,22.0
2024-01-03 15:00:00,27.0,29.37,29.37,29.92
2024-01-03 16:00:00,33.300000000000004,35.6,36.49,36.96
2024-01-03 17:00:00,36.9,40.05,40.94,40.48
2024-01-03 18:00:00,44.1,48.06,48.95,49.28
2024-01-03 19:00:00,50.4,55.18,56.96,57.2
2024-01-03 20:00:00,53.1,57.85,59.63,59.84
2024-01-03 21:00:00,50.4,55.18,56.96,57.2
2024-01-03 22:00:00,45.9,49.84,51.62,51.92
2024-01-03 23:00:00,42.300000000000004,46.28,47.17,47.52
2024-01-04 00:00:00,37.800000000000004,41.83,42.72,43.12
2024-01-04 01:00:00,35.1,38.27,39.160000000000004,39.6
2024-01-04 02:00:00,30.6,33.82,34.71,35.2
2024-01-04 03:00:00,27.0,29.37,31.150000000000002,30.8
2024-01-04 04:00:00,24.3,25.81,26.7,27.28
2024-01-04 05:00:00,21.6,23.14,24.03,23.76
2024-01-04 06:00:00,18.0,19.580000000000002,20.47,21.12
2024-01-04 07:00:00,17.1,18.69,19.580000000000002,19.36
2024-01-04 08:00:00,16.2,17.8,17.8,18.48
2024-01-04 09:00:00,14.4,16.02,16.91,16.72
2024-01-04 10:00:00,14.4,15.13,16.02,15.84
2024-01-04 11:00:00,13.5,14.24,15.13,14.96
2024-01-04 12:00:00,11.700000000000001,13.35,13.35,13.2
2024-01-04 13:00:00,9.9,10.68,11.57,11.44
2024-01-04 14:00:00,9.0,9.790000000000001,9.790000000000001,9.68
2024-01-04 15:00:00,8.1,8.9,9.790000000000001,9.68
2024-01-04 16:00:00,8.1,8.9,8.9,8.8
2024-01-04 17:00:00,8.1,8.9,8.9,8.8
2024-01-04 18:00:00,7.2,8.01,8.01,7.92
2024-01-04 19:00:00,6.3,7.12,7.12,7.04
2024-01-04 20:00:00,5.4,6.23,6.23,6.16
2024-01-04 21:00:00,5.4,5.34,6.23,6.16
2024-01-04 22:00:00,4.5,5.34,5.34,5.28
2024-01-04 23:00:00,4.5,4.45,4.45,5.28
2024-01-05 00:00:00,4.5,4.45,4.45,5.28
2024-01-05 01:00:00,4.5,4.45,4.45,4.4
2024-01-05 02:00:00,4.5,4.45,4.45,4.4
2024-01-05 03:00:00,3.6,4.45,4.45,4.4
2024-01-05 04:00:00,3.6,4.45,4.45,4.4
2024-01-05 05:00:00,3.6,3.56,3.56,4.4
2024-01-05 06:00:00,3.6,3.56,3.56,4.4
2024-01-05 07:00:00,3.6,3.56,4.45,4.4
2024-01-05 08:00:00,3.6,3.56,3.56,3.52
2024-01-05 09:00:00,3.6,4.45,4.45,4.4
2024-01-05 10:00:00,4.5,5.34,5.34,5.28
2024-01-05 11:00:00,5.4,6.23,6.23,6.16
2024-01-05 12:00:00,5.4,6.23,6.23,6.16
2024-01-05 13:00:00,5.4,6.23,6.23,6.16
2024-01-05 14:00:00,5.4,6.23,6.23,6.16
2024-01-05 15:00:00,6.3,7.12,7.12,7.04
2024-01-05 16:00:00,8.1,8.01,8.9,8.8
2024-01-05 17:00:00,9.0,9.790000000000001,9.790000000000001,10.56
2024-01-05 18:00:00,9.9,10.68,10.68,11.44
2024-01-05 19:00:00,10.8,11.57,12.46,12.32
2024-01-05 20:00:00,13.5,14.24,15.13,14.96
2024-01-05 21:00:00,15.3,16.91,16.91,16.72
2024-01-05 22:00:00,16.2,16.91,17.8,17.6
2024-01-05 23:00:00,16.2,16.91,17.8,17.6
2024-01-06 00:00:00,16.2,17.8,17.8,18.48
2024-01-06 01:00:00,17.1,18.69,18.69,19.36
2024-01-06 02:00:00,17.1,18.69,18.69,18.48
2024-01-06 03:00:00,16.2,16.91,17.8,17.6
2024-01-06 04:00:00,15.3,16.02,16.91,16.72
2024-01-06 05:00:00,14.4,15.13,16.02,15.84
2024-01-06 06:00:00,13.5,14.24,15.13,14.96
2024-01-06 07:00:00,12.6,13.35,14.24,14.08
2024-01-06 08:00:00,12.6,13.35,13.35,13.2
2024-01-06 09:00:00,12.6,13.35,13.35,13.2
2024-01-06 10:00:00,11.700000000000001,12.46,12.46,12.32
2024-01-06 11:00:00,10.8,11.57,12.46,12.32
2024-01-06 12:00:00,9.9,10.68,10.68,11.44
2024-01-06 13:00:00,9.9,10.68,10.68,11.44
2024-01-06 14:00:00,9.9,10.68,10.68,10.56
2024-01-06 15:00:00,9.9,10.68,10.68,10.56
2024-01-06 16:00:00,9.9,10.68,10.68,10.56
2024-01-06 17:00:00,9.9,9.790000000000001,9.790000000000001,10.56
2024-01-06 18:00:00,9.9,10.68,10.68,10.56
2024-01-06 19:00:00,9.0,9.790000000000001,9.790000000000001,9.68
2024-01-06 20:00:00,9.0,9.790000000000001,9.790000000000001,9.68
2024-01-06 21:00:00,9.0,9.790000000000001,9.790000000000001,9.68
2024-01-06 22:00:00,9.0,8.9,9.790000000000001,9.68
2024-01-06 23:00:00,8.1,8.9,8.9,8.8
2024-01-07 00:00:00,7.2,8.01,8.01,7.92
2024-01-07 01:00:00,7.2,8.01,8.01,7.92
2024-01-07 02:00:00,7.2,7.12,7.12,7.04
2024-01-07 03:00:00,6.3,7.12,7.12,7.04
2024-01-07 04:00:00,6.3,6.23,6.23,6.16
2024-01-07 05:00:00,5.4,6.23,6.23,6.16
2024-01-07 06:00:00,5.4,6.23,6.23,6.16
2024-01-07 07:00:00,5.4,5.34,5.34,5.28
2024-01-07 08:00:00,5.4,5.34,5.34,5.28
2024-01-07 09:00:00,5.4,5.34,5.34,5.28
