Timestamp (Local),PM 1.0,PM 2.5,PM 4.0,PM 10
2023-12-31 06:00:00,11.84,13.32,13.5,13.5
2023-12-31 07:00:00,10.36,11.1,12.0,12.0
2023-12-31 08:00:00,9.62,10.36,10.5,11.25
2023-12-31 09:00:00,8.879999999999999,9.62,9.75,10.5
2023-12-31 10:00:00,8.14,8.879999999999999,9.0,9.0
2023-12-31 11:00:00,7.4,8.14,8.25,8.25
2023-12-31 12:00:00,6.66,7.4,7.5,7.5
2023-12-31 13:00:00,5.92,6.66,6.75,6.75
2023-12-31 14:00:00,5.18,5.92,6.0,6.0
2023-12-31 15:00:00,5.92,6.66,6.75,6.75
2023-12-31 16:00:00,6.66,6.66,6.75,6.75
2023-12-31 17:00:00,9.62,9.62,10.5,10.5
2023-12-31 18:00:00,11.84,12.58,12.75,12.75
2023-12-31 19:00:00,13.32,14.8,15.0,15.0
2023-12-31 20:00:00,14.8,16.28,16.5,16.5
2023-12-31 21:00:00,14.8,16.28,16.5,16.5
2023-12-31 22:00:00,15.54,17.02,17.25,17.25
2023-12-31 23:00:00,17.02,18.5,18.75,18.75
2024-01-01 00:00:00,19.98,21.46,21.75,21.75
2024-01-01 01:00:00,31.08,33.3,33.75,33.75
2024-01-01 02:00:00,32.56,34.78,35.25,35.25
2024-01-01 03:00:00,30.34,32.56,33.0,33.0
2024-01-01 04:00:00,28.12,29.6,30.75,30.75
2024-01-01 05:00:00,25.16,26.64,27.0,27.75
2024-01-01 06:00:00,22.2,23.68,24.0,24.0
2024-01-01 07:00:00,19.24,20.72,21.0,21.0
2024-01-01 08:00:00,17.759999999999998,18.5,19.5,19.5
2024-01-01 09:00:00,15.54,17.02,17.25,17.25
2024-01-01 10:00:00,14.06,15.54,15.75,15.75
2024-01-01 11:00:00,12.58,13.32,13.5,14.25
2024-01-01 12:00:00,11.1,11.84,12.0,12.0
2024-01-01 13:00:00,9.62,10.36,10.5,10.5
2024-01-01 14:00:00,8.14,8.879999999999999,9.0,9.0
2024-01-01 15:00:00,7.4,8.14,8.25,8.25
2024-01-01 16:00:00,7.4,8.14,8.25,8.25
2024-01-01 17:00:00,7.4,7.4,7.5,8.25
2024-01-01 18:00:00,7.4,8.14,8.25,8.25
2024-01-01 19:00:00,8.879999999999999,9.62,9.75,9.75
2024-01-01 20:00:00,10.36,10.36,11.25,11.25
2024-01-01 21:00:00,10.36,11.1,11.25,11.25
2024-01-01 22:00:00,9.62,10.36,10.5,10.5
2024-01-01 23:00:00,8.879999999999999,9.62,9.75,9.75
2024-01-02 00:00:00,8.14,8.879999999999999,9.0,9.0
2024-01-02 01:00:00,7.4,8.14,8.25,8.25
2024-01-02 02:00:00,7.4,8.14,8.25,8.25
2024-01-02 03:00:00,6.66,7.4,7.5,7.5
2024-01-02 04:00:00,5.92,6.66,6.75,6.75
2024-01-02 05:00:00,5.92,5.92,6.0,6.0
2024-01-02 06:00:00,5.18,5.92,6.0,6.0
2024-01-02 07:00:00,5.18,5.18,5.25,5.25
2024-01-02 08:00:00,5.18,5.18,5.25,5.25
2024-01-02 09:00:00,4.4399999999999995,5.18,5.25,5.25
2024-01-02 10:00:00,5.18,5.18,6.0,6.0
2024-01-02 11:00:00,5.92,5.92,6.0,6.0
2024-01-02 12:00:00,5.92,6.66,6.75,6.75
2024-01-02 13:00:00,6.66,7.4,7.5,7.5
2024-01-02 14:00:00,10.36,11.1,11.25,11.25
2024-01-02 15:00:00,16.28,17.02,17.25,18.0
2024-01-02 16:00:00,16.28,17.759999999999998,18.0,18.0
