Timestamp (Local),PM 1.0,PM 2.5,PM 4.0,PM 10
2023-12-31 06:00:00,11.700000000000001,12.46,13.35,13.35
2023-12-31 07:00:00,9.9,10.68,11.57,11.57
2023-12-31 08:00:00,9.9,10.68,10.68,10.68
2023-12-31 09:00:00,9.0,9.790000000000001,9.790000000000001,9.790000000000001
2023-12-31 10:00:00,8.1,8.9,8.9,8.9
2023-12-31 11:00:00,7.2,8.01,8.01,8.01
2023-12-31 12:00:00,6.3,7.12,7.12,7.12
2023-12-31 13:00:00,5.4,6.23,6.23,6.23
2023-12-31 14:00:00,5.4,6.23,6.23,6.23
2023-12-31 15:00:00,6.3,6.23,6.23,7.12
2023-12-31 16:00:00,7.2,7.12,8.01,8.01
2023-12-31 17:00:00,9.9,10.68,10.68,11.57
2023-12-31 18:00:00,12.6,13.35,13.35,14.24
2023-12-31 19:00:00,14.4,15.13,16.02,16.02
2023-12-31 20:00:00,14.4,16.02,16.91,16.91
2023-12-31 21:00:00,15.3,16.02,16.91,16.91
2023-12-31 22:00:00,16.2,17.8,17.8,18.69
2023-12-31 23:00:00,17.1,18.69,19.580000000000002,19.580000000000002
2024-01-01 00:00:00,23.400000000000002,25.81,25.81,25.81
2024-01-01 01:00:00,32.4,34.71,35.6,35.6
2024-01-01 02:00:00,32.4,33.82,34.71,34.71
2024-01-01 03:00:00,29.7,32.04,32.04,32.04
2024-01-01 04:00:00,27.0,29.37,29.37,29.37
2024-01-01 05:00:00,24.3,25.81,25.81,26.7
2024-01-01 06:00:00,21.6,23.14,23.14,23.14
2024-01-01 07:00:00,18.900000000000002,20.47,20.47,20.47
2024-01-01 08:00:00,17.1,17.8,18.69,18.69
2024-01-01 09:00:00,15.3,16.02,16.91,16.91
2024-01-01 10:00:00,14.4,15.13,15.13,15.13
2024-01-01 11:00:00,12.6,13.35,13.35,13.35
2024-01-01 12:00:00,10.8,11.57,11.57,11.57
2024-01-01 13:00:00,9.0,9.790000000000001,9.790000000000001,10.68
2024-01-01 14:00:00,8.1,8.9,8.9,8.9
2024-01-01 15:00:00,8.1,8.01,8.01,8.01
2024-01-01 16:00:00,7.2,8.01,8.01,8.01
2024-01-01 17:00:00,7.2,8.01,8.01,8.01
2024-01-01 18:00:00,8.1,8.9,8.9,8.9
2024-01-01 19:00:00,9.0,9.790000000000001,9.790000000000001,10.68
2024-01-01 20:00:00,9.9,10.68,10.68,11.57
2024-01-01 21:00:00,9.9,10.68,10.68,10.68
2024-01-01 22:00:00,9.0,9.790000000000001,9.790000000000001,9.790000000000001
2024-01-01 23:00:00,8.1,8.9,8.9,9.790000000000001
2024-01-02 00:00:00,8.1,8.9,8.9,8.9
2024-01-02 01:00:00,7.2,8.01,8.01,8.01
2024-01-02 02:00:00,7.2,8.01,8.01,8.01
2024-01-02 03:00:00,6.3,7.12,7.12,7.12
2024-01-02 04:00:00,6.3,6.23,6.23,6.23
2024-01-02 05:00:00,5.4,6.23,6.23,6.23
2024-01-02 06:00:00,5.4,5.34,5.34,5.34
2024-01-02 07:00:00,5.4,5.34,5.34,5.34
2024-01-02 08:00:00,4.5,5.34,5.34,5.34
2024-01-02 09:00:00,4.5,5.34,5.34,5.34
2024-01-02 10:00:00,5.4,5.34,5.34,5.34
2024-01-02 11:00:00,5.4,6.23,6.23,6.23
2024-01-02 12:00:00,6.3,7.12,7.12,7.12
2024-01-02 13:00:00,7.2,7.12,8.01,8.01
2024-01-02 14:00:00,12.6,13.35,14.24,14.24
2024-01-02 15:00:00,16.2,17.8,17.8,17.8
2024-01-02 16:00:00,16.2,17.8,17.8,17.8
2024-01-02 17:00:00,17.1,17.8,18.69,18.69
2024-01-02 18:00:00,18.0,18.69,19.580000000000002,19.580000000000002
2024-01-02 19:00:00,19.8,21.36,21.36,22.25
2024-01-02 20:00:00,22.5,24.92,24.92,25.81
2024-01-02 21:00:00,24.3,26.7,27.59,27.59
2024-01-02 22:00:00,25.2,27.59,27.59,28.48
2024-01-02 23:00:00,24.3,25.81,26.7,27.59
2024-01-03 00:00:00,23.400000000000002,25.81,26.7,26.7
2024-01-03 01:00:00,25.2,26.7,27.59,27.59
2024-01-03 02:00:00,25.2,27.59,27.59,28.48
2024-01-03 03:00:00,25.2,27.59,27.59,28.48
2024-01-03 04:00:00,24.3,26.7,26.7,27.59
2024-01-03 05:00:00,23.400000000000002,24.92,25.81,25.81
2024-01-03 06:00:00,21.6,23.14,24.03,24.03
2024-01-03 07:00:00,20.7,22.25,22.25,22.25
2024-01-03 08:00:00,19.8,20.47,21.36,21.36
2024-01-03 09:00:00,18.900000000000002,20.47,20.47,21.36
2024-01-03 10:00:00,18.900000000000002,20.47,20.47,20.47
2024-01-03 11:00:00,18.900000000000002,20.47,20.47,21.36
2024-01-03 12:00:00,19.8,20.47,21.36,21.36
2024-01-03 13:00:00,19.8,21.36,22.25,22.25
2024-01-03 14:00:00,20.7,22.25,22.25,22.25
2024-01-03 15:00:00,27.900000000000002,29.37,30.26,31.150000000000002
2024-01-03 16:00:00,33.300000000000004,35.6,36.49,37.38
2024-01-03 17:00:00,37.800000000000004,40.05,40.94,41.83
2024-01-03 18:00:00,45.0,48.95,49.84,50.730000000000004
2024-01-03 19:00:00,51.300000000000004,56.07,56.96,57.85
2024-01-03 20:00:00,53.1,57.85,59.63,60.52
2024-01-03 21:00:00,50.4,54.29,56.07,56.96
2024-01-03 22:00:00,45.9,49.84,51.62,52.51
2024-01-03 23:00:00,42.300000000000004,45.39,47.17,47.17
2024-01-04 00:00:00,38.7,41.83,42.72,43.61
2024-01-04 01:00:00,35.1,37.38,39.160000000000004,39.160000000000004
2024-01-04 02:00:00,30.6,33.82,34.71,34.71
2024-01-04 03:00:00,27.0,29.37,30.26,31.150000000000002
2024-01-04 04:00:00,24.3,25.81,26.7,27.59
