Timestamp (Local),PM 1.0,PM 2.5,PM 4.0,PM 10
2023-12-31 06:00:00,11.44,12.32,13.2,13.2
2023-12-31 07:00:00,9.68,10.56,11.44,11.44
2023-12-31 08:00:00,8.8,9.68,10.56,10.56
2023-12-31 09:00:00,8.8,9.68,9.68,9.68
2023-12-31 10:00:00,7.92,8.8,8.8,8.8
2023-12-31 11:00:00,7.04,7.92,7.92,7.92
2023-12-31 12:00:00,6.16,7.04,7.04,7.04
2023-12-31 13:00:00,5.28,6.16,6.16,6.16
2023-12-31 14:00:00,5.28,6.16,6.16,6.16
2023-12-31 15:00:00,6.16,6.16,6.16,7.04
2023-12-31 16:00:00,7.04,7.04,7.04,7.92
2023-12-31 17:00:00,9.68,10.56,11.44,11.44
2023-12-31 18:00:00,12.32,13.2,13.2,13.2
2023-12-31 19:00:00,14.08,14.96,14.96,15.84
2023-12-31 20:00:00,14.96,15.84,15.84,16.72
2023-12-31 21:00:00,14.96,15.84,16.72,16.72
2023-12-31 22:00:00,15.84,16.72,17.6,17.6
2023-12-31 23:00:00,16.72,18.48,18.48,19.36
2024-01-01 00:00:00,22.88,24.64,24.64,24.64
2024-01-01 01:00:00,32.56,34.32,34.32,34.32
2024-01-01 02:00:00,31.68,33.44,34.32,34.32
2024-01-01 03:00:00,29.92,31.68,31.68,31.68
2024-01-01 04:00:00,27.28,29.04,29.04,29.04
2024-01-01 05:00:00,23.76,25.52,25.52,25.52
2024-01-01 06:00:00,21.12,22.88,22.88,22.88
2024-01-01 07:00:00,18.48,20.24,20.24,20.24
2024-01-01 08:00:00,16.72,17.6,18.48,18.48
2024-01-01 09:00:00,14.96,15.84,16.72,16.72
2024-01-01 10:00:00,14.08,14.96,14.96,14.96
2024-01-01 11:00:00,12.32,13.2,13.2,13.2
2024-01-01 12:00:00,10.56,11.44,11.44,11.44
2024-01-01 13:00:00,9.68,10.56,10.56,10.56
2024-01-01 14:00:00,7.92,8.8,8.8,8.8
2024-01-01 15:00:00,7.92,7.92,7.92,7.92
2024-01-01 16:00:00,7.04,7.92,7.92,7.92
2024-01-01 17:00:00,7.04,7.92,7.92,7.92
2024-01-01 18:00:00,7.92,8.8,8.8,8.8
2024-01-01 19:00:00,9.68,9.68,10.56,10.56
2024-01-01 20:00:00,10.56,10.56,11.44,11.44
2024-01-01 21:00:00,9.68,10.56,10.56,10.56
2024-01-01 22:00:00,8.8,9.68,9.68,10.56
2024-01-01 23:00:00,8.8,8.8,9.68,9.68
2024-01-02 00:00:00,7.92,8.8,8.8,8.8
2024-01-02 01:00:00,7.92,7.92,7.92,7.92
2024-01-02 02:00:00,7.04,7.92,7.92,7.92
2024-01-02 03:00:00,6.16,7.04,7.04,7.04
2024-01-02 04:00:00,6.16,6.16,7.04,7.04
2024-01-02 05:00:00,5.28,6.16,6.16,6.16
2024-01-02 06:00:00,5.28,5.28,5.28,5.28
2024-01-02 07:00:00,5.28,5.28,5.28,5.28
2024-01-02 08:00:00,4.4,5.28,5.28,5.28
2024-01-02 09:00:00,4.4,5.28,5.28,5.28
2024-01-02 10:00:00,5.28,5.28,5.28,5.28
2024-01-02 11:00:00,5.28,6.16,6.16,6.16
2024-01-02 12:00:00,6.16,6.16,7.04,7.04
2024-01-02 13:00:00,7.04,7.04,7.92,7.92
2024-01-02 14:00:00,13.2,14.08,14.96,14.96
